park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC,Avg_Annual_Visits_5Yr
Acadia National Park,ACAD,Blackwoods Campground Hand Pump Well,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.213771,44.313345,"c(-68.213771, 44.313345)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Brown Mountain Gatehouse,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.28491,44.31146,"c(-68.28491, 44.31146)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Dermott House,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.2001,44.36014,"c(-68.2001, 44.36014)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Fly Farm,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.21413,44.37462,"c(-68.21413, 44.37462)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Isle au Haut Campground,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.65312,44.02746,"c(-68.65312, 44.02746)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Jordan Pond Gatehouse,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.25214,44.31936,"c(-68.25214, 44.31936)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Sand Beach Entrance Station,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.18302,44.3388,"c(-68.18302, 44.3388)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Sand Beach Residence,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.183143,44.338809,"c(-68.183143, 44.338809)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Seal Cove Residence,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.404531,44.283387,"c(-68.404531, 44.283387)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Somes Sound House,NA,Non-Public Water System (NP),NA,unknown groundwater,-68.30225,44.34055,"c(-68.30225, 44.34055)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Acadia National Park,ACAD,Tate House (Crooked Road),NA,Non-Public Water System (NP),NA,unknown groundwater,-68.29701,44.41525,"c(-68.29701, 44.41525)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,4039145.4
Agate Fossil Beds National Monument,AGFO,Bone Cabin Windmill (Historical),NA,Non-Potable (NonPOT),NA,rainwater,-103.73937,42.41811,"c(-103.73937, 42.41811)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,17281
Agate Fossil Beds National Monument,AGFO,Hoffman House Water System,NA,Non-Public Water System (NP),NA,unknown groundwater,-103.7412,42.41913,"c(-103.7412, 42.41913)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,17281
Agate Fossil Beds National Monument,AGFO,Housing/Maintenance Fire Protection Water System,NA,Non-Public Water System (NP),NA,unknown groundwater,-103.7299,42.431,"c(-103.7299, 42.431)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,17281
Agate Fossil Beds National Monument,AGFO,"Visitor Center, Maintenance & Housing Water System",NA,Non-Transient Non-Community Water System (NTNC),NE3116503,deep groundwater,-103.730713,42.430814,"c(-103.730713, 42.430814)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17281
Agate Fossil Beds National Monument,AGFO,Well #2 abandoned,NA,Non-Potable (NonPOT),NA,unknown groundwater,-103.7369,42.42779,"c(-103.7369, 42.42779)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,17281
Alibates Flint Quarries National Monument,ALFL,ALFL - VC Water System,NA,Non-Potable (NonPOT),NA,unknown groundwater,-101.70351,35.579129,"c(-101.70351, 35.579129)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,7932.8
Allegheny Portage Railroad National Historic Site,ALPO,Quarters Units 1090 & 1070 (Seasonal and Ranger House) Water System,Qtrs Unit 1070 & 1090 Water,Non-Public Water System (NP),NA,deep groundwater,-78.45813,40.40916,"c(-78.45813, 40.40916)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,184276.6
Amistad National Recreation Area,AMIS,DE/Potable Water System,NA,Transient Non-Community Water System (TNC),TX2330032,deep groundwater,-101.01467,29.4688,"c(-101.01467, 29.4688)",DIABLO EAST,TNCWS,80,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,881766
