park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC
Timpanogos Cave National Monument,TICA,TICA WATER SYSTEM,NA,Transient Non-Community Water System (TNC),UTAH25105,spring,-111.705021,40.448851,"c(-111.705021, 40.448851)",TIMPANOGOS CAVE,TNCWS,160,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Timpanogos Cave National Monument,TICA,TICA WATER SYSTEM,NA,Transient Non-Community Water System (TNC),UTAH25105,spring,-111.70496,40.44393,"c(-111.70496, 40.44393)",TIMPANOGOS CAVE,TNCWS,160,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Timucuan Ecological and Historic Preserve,TIMU,Jacksonville Water System,Jacksonville Water System,Community Water System (CWS),FL2161328,municipal,-81.497393,30.385406,"c(-81.497393, 30.385406)",JEA MAJOR GRID,CWS,826664,2,3,4,5,10,"10,000+",">50,000",100K+,">100,000","500,001-1,000,000"
Timucuan Ecological and Historic Preserve,TIMU,Broward House Water System,Broward House Water System,Non-Public Water System (NP),NA,unknown groundwater,-81.43263,30.4027,"c(-81.43263, 30.4027)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Timucuan Ecological and Historic Preserve,TIMU,Crabtree Water System,Crabtree Water System,Non-Public Water System (NP),NA,deep groundwater,-81.437,30.436,"c(-81.437, 30.436)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Timucuan Ecological and Historic Preserve,TIMU,Johnson Barn Water System,Johnson Barn Water System,Non-Public Water System (NP),NA,unknown groundwater,-81.4357,30.43912,"c(-81.4357, 30.43912)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Timucuan Ecological and Historic Preserve,TIMU,KP-Kingsley Water Well,Kingsley Plantation Water System,Non-Public Water System (NP),NA,unknown groundwater,-81.43706,30.43896,"c(-81.43706, 30.43896)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Timucuan Ecological and Historic Preserve,TIMU,KP-Quarters 5310-1 Water System,NA,Non-Public Water System (NP),NA,unknown groundwater,-81.43599,30.43553,"c(-81.43599, 30.43553)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Timucuan Ecological and Historic Preserve,TIMU,TRA- Water System,TRA Water System,Non-Public Water System (NP),NA,unknown groundwater,-81.48495,30.37002,"c(-81.48495, 30.37002)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Tonto National Monument,TONT,Parkwide Water System,NA,Transient Non-Community Water System (TNC),AZ0404702,shallow groundwater,-111.112377,33.645766,"c(-111.112377, 33.645766)",TONTO NATIONAL MONUMENT,TNCWS,30,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
